SN,Brand,Year,Fuel,Transmission,Engine,Max_Power,Torque,Seats,Mileage,KM_Driven,Owner,Seller_Type,Selling_Price
1,Maruti Swift Dzire VDI,2014,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,23.4 kmpl,145500,First Owner,Individual,450000
2,Skoda Rapid 1.5 TDI Ambition,2014,Diesel,Manual,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5,21.14 kmpl,120000,Second Owner,Individual,370000
3,Honda City 2017-2020 EXi,2006,Petrol,Manual,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,17.7 kmpl,140000,Third Owner,Individual,158000
4,Hyundai i20 Sportz Diesel,2010,Diesel,Manual,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,23.0 kmpl,127000,First Owner,Individual,225000
5,Maruti Swift VXI BSIII,2007,Petrol,Manual,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5,16.1 kmpl,120000,First Owner,Individual,130000
6,Hyundai Xcent 1.2 VTVT E Plus,2017,Petrol,Manual,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,20.14 kmpl,45000,First Owner,Individual,440000
7,Maruti Wagon R LXI DUO BSIII,2007,LPG,Manual,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5,17.3 km/kg,,First Owner,Individual,96000
8,Maruti 800 DX BSII,2001,Petrol,Manual,796 CC,37 bhp,59Nm@ 2500rpm,4,16.1 kmpl,5000,Second Owner,Individual,45000
9,Toyota Etios VXD,2011,Diesel,Manual,1364 CC,67.1 bhp,170Nm@ 1800-2400rpm,5,23.59 kmpl,90000,First Owner,Individual,350000
10,Ford Figo Diesel Celebration Edition,2013,Diesel,Manual,1399 CC,68.1 bhp,160Nm@ 2000rpm,5,20.0 kmpl,169000,First Owner,Individual,200000
11,Renault Duster 110PS Diesel RxL,2014,Diesel,Manual,1461 CC,108.45 bhp,248Nm@ 2250rpm,5,19.01 kmpl,68000,Second Owner,Individual,500000
12,Maruti Zen LX,2005,Petrol,Manual,993 CC,60 bhp,78Nm@ 4500rpm,5,17.3 kmpl,100000,Second Owner,Individual,92000
13,Maruti Swift Dzire VDi,2009,Diesel,Manual,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,19.3 kmpl,140000,Second Owner,Individual,280000
14,Maruti Swift 1.3 VXi,2007,Petrol,Manual,,,,,,80000,Second Owner,Individual,200000
15,Maruti Wagon R LXI Minor,2009,Petrol,Manual,1061 CC,67 bhp,84Nm@ 3500rpm,5,18.9 kmpl,,Second Owner,Individual,180000
16,Mahindra KUV 100 mFALCON G80 K8 5str,2016,Petrol,Manual,1198 CC,82 bhp,115Nm@ 3500-3600rpm,5,18.15 kmpl,40000,First Owner,Individual,400000
17,Maruti Ertiga SHVS VDI,2016,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,24.52 kmpl,70000,Second Owner,Individual,778000
18,Hyundai i20 1.4 CRDi Asta,2012,Diesel,Manual,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,23.0 kmpl,53000,Second Owner,Individual,500000
19,Maruti Alto LX,2002,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,80000,Second Owner,Individual,150000
20,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,Diesel,Manual,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,22.54 kmpl,100000,First Owner,Individual,680000
21,Mahindra Verito 1.5 D4 BSIII,2011,Diesel,Manual,1461 CC,64.1 bhp,160Nm@ 2000rpm,5,21.0 kmpl,100000,Second Owner,Individual,174000
22,Honda WR-V i-DTEC VX,2017,Diesel,Manual,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,25.5 kmpl,50000,First Owner,Individual,950000
23,Maruti Swift Dzire ZDI,2015,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,26.59 kmpl,40000,First Owner,Individual,525000
24,Maruti SX4 ZDI,2012,Diesel,Manual,1248 CC,88.8 bhp,200Nm@ 1750rpm,5,21.5 kmpl,72000,First Owner,Individual,600000
